,precision,recall,f1-score,support
batik_betawi,0.8333333333333334,1.0,0.9090909090909091,15.0
batik_bokor_kencono,1.0,1.0,1.0,15.0
batik_buketan,1.0,1.0,1.0,15.0
batik_dayak,1.0,0.7333333333333333,0.8461538461538461,15.0
batik_jlamprang,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
batik_kawung,0.9230769230769231,0.8,0.8571428571428571,15.0
batik_liong,0.875,0.9333333333333333,0.9032258064516129,15.0
batik_mega_mendung,1.0,1.0,1.0,15.0
batik_parang,1.0,1.0,1.0,15.0
batik_sekarjagad,1.0,0.9333333333333333,0.9655172413793104,15.0
batik_sidoluhur,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
batik_sidomukti,1.0,1.0,1.0,15.0
batik_sidomulyo,0.9375,1.0,0.967741935483871,15.0
batik_singa_barong,1.0,1.0,1.0,15.0
batik_srikaton,1.0,1.0,1.0,15.0
batik_tribusono,0.875,0.9333333333333333,0.9032258064516129,15.0
batik_tujuh_rupa,1.0,1.0,1.0,15.0
batik_tuntrum,1.0,1.0,1.0,15.0
batik_wahyu_tumurun,0.9375,1.0,0.967741935483871,15.0
batik_wirasat,1.0,1.0,1.0,15.0
accuracy,0.9566666666666667,0.9566666666666667,0.9566666666666667,0.9566666666666667
macro avg,0.9590705128205128,0.9566666666666667,0.9559920168818946,300.0
weighted avg,0.9590705128205127,0.9566666666666667,0.9559920168818944,300.0
