,precision,recall,f1-score,support
batik_betawi,0.8823529411764706,1.0,0.9375,15.0
batik_bokor_kencono,1.0,1.0,1.0,15.0
batik_buketan,1.0,1.0,1.0,15.0
batik_dayak,1.0,0.8666666666666667,0.9285714285714286,15.0
batik_jlamprang,0.875,0.9333333333333333,0.9032258064516129,15.0
batik_kawung,0.9230769230769231,0.8,0.8571428571428571,15.0
batik_liong,1.0,0.9333333333333333,0.9655172413793104,15.0
batik_mega_mendung,1.0,1.0,1.0,15.0
batik_parang,1.0,1.0,1.0,15.0
batik_sekarjagad,1.0,0.9333333333333333,0.9655172413793104,15.0
batik_sidoluhur,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
batik_sidomukti,1.0,1.0,1.0,15.0
batik_sidomulyo,0.9375,1.0,0.967741935483871,15.0
batik_singa_barong,1.0,1.0,1.0,15.0
batik_srikaton,1.0,1.0,1.0,15.0
batik_tribusono,0.8823529411764706,1.0,0.9375,15.0
batik_tujuh_rupa,1.0,1.0,1.0,15.0
batik_tuntrum,1.0,1.0,1.0,15.0
batik_wahyu_tumurun,1.0,1.0,1.0,15.0
batik_wirasat,1.0,1.0,1.0,15.0
accuracy,0.97,0.97,0.97,0.97
macro avg,0.97168080693816,0.97,0.969802492187086,300.0
weighted avg,0.9716808069381598,0.97,0.9698024921870861,300.0
